N=360: 10800 states, 7646970 moves
t=  1 (theta=   0.500 deg): ALL WIN  win=10800/10800 rounds=8
t=  2 (theta=   1.000 deg): ALL WIN  win=10800/10800 rounds=9
t=  3 (theta=   1.500 deg): ALL WIN  win=10800/10800 rounds=8
t=  4 (theta=   2.000 deg): ALL WIN  win=10800/10800 rounds=8
t=  5 (theta=   2.500 deg): ALL WIN  win=10800/10800 rounds=8
t=  6 (theta=   3.000 deg): ALL WIN  win=10800/10800 rounds=7
t=  7 (theta=   3.500 deg): losesome win=3901/10800 rounds=7  #lose=6899 ex=[(1, 1, 358), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353), (1, 8, 351)]
t=  8 (theta=   4.000 deg): ALL WIN  win=10800/10800 rounds=7
t=  9 (theta=   4.500 deg): ALL WIN  win=10800/10800 rounds=7
t= 10 (theta=   5.000 deg): ALL WIN  win=10800/10800 rounds=7
t= 11 (theta=   5.500 deg): losesome win=2608/10800 rounds=6  #lose=8192 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t= 12 (theta=   6.000 deg): ALL WIN  win=10800/10800 rounds=6
t= 13 (theta=   6.500 deg): losesome win=2227/10800 rounds=6  #lose=8573 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t= 14 (theta=   7.000 deg): losesome win=2081/10800 rounds=6  #lose=8719 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t= 15 (theta=   7.500 deg): ALL WIN  win=10800/10800 rounds=6
t= 16 (theta=   8.000 deg): losesome win=1826/10800 rounds=6  #lose=8974 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t= 17 (theta=   8.500 deg): losesome win=1711/10800 rounds=6  #lose=9089 ex=[(1, 1, 358), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353), (1, 7, 352)]
t= 18 (theta=   9.000 deg): ALL WIN  win=10800/10800 rounds=6
t= 19 (theta=   9.500 deg): losesome win=1539/10800 rounds=6  #lose=9261 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t= 20 (theta=  10.000 deg): ALL WIN  win=10800/10800 rounds=6
t= 21 (theta=  10.500 deg): losesome win=1385/10800 rounds=6  #lose=9415 ex=[(1, 1, 358), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353), (1, 7, 352)]
t= 22 (theta=  11.000 deg): losesome win=1328/10800 rounds=5  #lose=9472 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t= 23 (theta=  11.500 deg): losesome win=1267/10800 rounds=5  #lose=9533 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t= 24 (theta=  12.000 deg): ALL WIN  win=10800/10800 rounds=5
t= 25 (theta=  12.500 deg): losesome win=1162/10800 rounds=5  #lose=9638 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t= 26 (theta=  13.000 deg): losesome win=1121/10800 rounds=5  #lose=9679 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t= 27 (theta=  13.500 deg): losesome win=1072/10800 rounds=5  #lose=9728 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t= 28 (theta=  14.000 deg): losesome win=1038/10800 rounds=5  #lose=9762 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t= 29 (theta=  14.500 deg): losesome win=996/10800 rounds=5  #lose=9804 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t= 30 (theta=  15.000 deg): ALL WIN  win=10800/10800 rounds=5
t= 31 (theta=  15.500 deg): losesome win=929/10800 rounds=5  #lose=9871 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t= 32 (theta=  16.000 deg): losesome win=899/10800 rounds=5  #lose=9901 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t= 33 (theta=  16.500 deg): losesome win=870/10800 rounds=5  #lose=9930 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t= 34 (theta=  17.000 deg): losesome win=845/10800 rounds=5  #lose=9955 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t= 35 (theta=  17.500 deg): losesome win=815/10800 rounds=5  #lose=9985 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t= 36 (theta=  18.000 deg): ALL WIN  win=10800/10800 rounds=5
t= 37 (theta=  18.500 deg): losesome win=769/10800 rounds=5  #lose=10031 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t= 38 (theta=  19.000 deg): losesome win=749/10800 rounds=5  #lose=10051 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t= 39 (theta=  19.500 deg): losesome win=724/10800 rounds=5  #lose=10076 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t= 40 (theta=  20.000 deg): ALL WIN  win=10800/10800 rounds=5
t= 41 (theta=  20.500 deg): losesome win=688/10800 rounds=4  #lose=10112 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t= 42 (theta=  21.000 deg): losesome win=672/10800 rounds=4  #lose=10128 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t= 43 (theta=  21.500 deg): losesome win=652/10800 rounds=4  #lose=10148 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t= 44 (theta=  22.000 deg): losesome win=636/10800 rounds=4  #lose=10164 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t= 45 (theta=  22.500 deg): ALL WIN  win=10800/10800 rounds=4
t= 46 (theta=  23.000 deg): losesome win=607/10800 rounds=4  #lose=10193 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t= 47 (theta=  23.500 deg): losesome win=591/10800 rounds=4  #lose=10209 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t= 48 (theta=  24.000 deg): losesome win=579/10800 rounds=4  #lose=10221 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t= 49 (theta=  24.500 deg): losesome win=563/10800 rounds=4  #lose=10237 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t= 50 (theta=  25.000 deg): losesome win=551/10800 rounds=4  #lose=10249 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t= 51 (theta=  25.500 deg): losesome win=535/10800 rounds=4  #lose=10265 ex=[(1, 1, 358), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353), (1, 7, 352)]
t= 52 (theta=  26.000 deg): losesome win=528/10800 rounds=4  #lose=10272 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t= 53 (theta=  26.500 deg): losesome win=516/10800 rounds=4  #lose=10284 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t= 54 (theta=  27.000 deg): losesome win=507/10800 rounds=4  #lose=10293 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t= 55 (theta=  27.500 deg): losesome win=495/10800 rounds=4  #lose=10305 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
t= 56 (theta=  28.000 deg): losesome win=486/10800 rounds=4  #lose=10314 ex=[(1, 1, 358), (1, 2, 357), (1, 3, 356), (1, 4, 355), (1, 5, 354), (1, 6, 353)]
